id,tournament_id,name,holes,created_at,gender,age_min,age_max,min_age,max_age,holes_count
07eed07e-f15c-422e-b5e1-2603a837309c,6d49d58c-7fdb-4613-80e4-e7e048ed624c,U14 Girls,18,2026-02-20T12:37:13.9901+00:00,Girls,13,14,,,
81afe7c3-1501-4456-ad3e-0a423bf7633c,6d49d58c-7fdb-4613-80e4-e7e048ed624c,U14 Boys,18,2026-02-20T12:37:13.9901+00:00,Boys,13,14,,,
90504b3a-847c-46c9-85e6-92f0b7cb7e12,6d49d58c-7fdb-4613-80e4-e7e048ed624c,U16 Girls,18,2026-02-20T12:37:13.9901+00:00,Girls,15,16,,,
ac877af5-3e7d-45f1-be76-8c5afa043916,6d49d58c-7fdb-4613-80e4-e7e048ed624c,U16 Boys,18,2026-02-20T12:37:13.9901+00:00,Boys,15,16,,,
5c924949-0b83-4d3f-974f-bf495ea846e5,6d49d58c-7fdb-4613-80e4-e7e048ed624c,U18 Girls,18,2026-02-20T12:37:13.9901+00:00,Girls,17,18,,,
05a327fd-ef4b-452b-b15c-d875448687d4,6d49d58c-7fdb-4613-80e4-e7e048ed624c,U18 Boys,18,2026-02-20T12:37:13.9901+00:00,Boys,17,18,,,
dc2f1924-7a74-4b2f-89d7-14365e7a6ed4,7716349a-8bb0-46c6-b60c-3594eb7ea60f,U21 Girls,18,2026-02-13T10:01:44.388086+00:00,Girls,19,21,,,
a3dc9c3a-f552-40ec-8db1-7449a7a66184,7716349a-8bb0-46c6-b60c-3594eb7ea60f,U21 Boys,18,2026-02-13T10:01:44.388086+00:00,Boys,19,21,,,
454f7542-7847-46c4-803f-edf810a673d7,7716349a-8bb0-46c6-b60c-3594eb7ea60f,Overall U21,18,2026-02-13T10:01:44.388086+00:00,,19,21,,,
24953765-a626-4e10-9f2d-6c293226eb84,7716349a-8bb0-46c6-b60c-3594eb7ea60f,Overall U12,9,2026-02-13T10:01:44.388086+00:00,,11,12,,,
dd051d77-fcbd-404b-881e-b9c418561142,7716349a-8bb0-46c6-b60c-3594eb7ea60f,U8 Girls,9,2026-02-13T10:10:41.046284+00:00,Girls,0,8,,,
17aae0f6-22bc-4379-80bf-f181eee524ea,7716349a-8bb0-46c6-b60c-3594eb7ea60f,U8 Boys,9,2026-02-13T10:10:41.046284+00:00,Boys,0,8,,,
4907211d-27ff-40c8-b471-f0426f865169,7716349a-8bb0-46c6-b60c-3594eb7ea60f,U10 Girls,9,2026-02-13T10:10:41.046284+00:00,Girls,9,10,,,
29c91ffb-f653-40a9-b8ed-3052b3a794b9,7716349a-8bb0-46c6-b60c-3594eb7ea60f,U10 Boys,9,2026-02-13T10:10:41.046284+00:00,Boys,9,10,,,
4c4d4d13-7f1c-4a4f-9ba4-418fd1a084fe,7716349a-8bb0-46c6-b60c-3594eb7ea60f,U12 Girls,9,2026-02-13T10:10:41.046284+00:00,Girls,11,12,,,
1117869d-2d7b-4a3a-913c-cfb73e3bda18,7716349a-8bb0-46c6-b60c-3594eb7ea60f,U12 Boys,9,2026-02-13T10:10:41.046284+00:00,Boys,11,12,,,
9b1e1bb8-9378-4359-a3b3-cafec3369dbb,7716349a-8bb0-46c6-b60c-3594eb7ea60f,U14 Girls,18,2026-02-13T10:10:41.046284+00:00,Girls,13,14,,,
7a488178-23ee-4587-8764-e23a4511b1cc,7716349a-8bb0-46c6-b60c-3594eb7ea60f,U14 Boys,18,2026-02-13T10:10:41.046284+00:00,Boys,13,14,,,
f2c4f039-7583-48e4-8889-96403b062452,7716349a-8bb0-46c6-b60c-3594eb7ea60f,U16 Girls,18,2026-02-13T10:10:41.046284+00:00,Girls,15,16,,,
43e2bd6e-ae90-4ace-94b7-802aab5eaa42,7716349a-8bb0-46c6-b60c-3594eb7ea60f,U16 Boys,18,2026-02-13T10:10:41.046284+00:00,Boys,15,16,,,
97c218b6-cd6c-4344-98bb-e9ce52cc8106,7716349a-8bb0-46c6-b60c-3594eb7ea60f,U18 Girls,18,2026-02-13T10:10:41.046284+00:00,Girls,17,18,,,
7b896756-c237-486f-abc0-034759678d40,7716349a-8bb0-46c6-b60c-3594eb7ea60f,U18 Boys,18,2026-02-13T10:10:41.046284+00:00,Boys,17,18,,,
